Global_Time,Global_X,Global_Y,v_Vel,v_Acc,Time_diff,Pred_X,Pred_Y,Haversine_Distance,Calculated_Speed
121,679864.9466,419294.5035,0.11,0,1,679864.9475,419294.5069,368.6713933,368.6713933
122,679864.9475,419294.5069,0.11,0,1,679864.9484,419294.5103,379.0068795,379.0068795
123,679864.9484,419294.5103,0.11,0,1,679864.9496,419294.5136,379.0064815,379.0064815
124,679864.9496,419294.5136,0.11,0,1,679864.9506,419294.5173,368.6692076,368.6692076
125,679864.9506,419294.5173,0.12,0,1,679864.9515,419294.5206,412.4908792,412.4908792
126,679864.9515,419294.5206,0.11,0,1,679864.9527,419294.524,367.9142402,367.9142402
127,679864.9527,419294.524,0.11,0,1,679864.9536,419294.5273,379.7359808,379.7359808
128,679864.9536,419294.5273,0.11,0,1,679864.9548,419294.5307,367.9134273,367.9134273
129,679864.9548,419294.5307,0.11,0,1,679864.9557,419294.534,379.7345762,379.7345762
130,679864.9557,419294.534,0.11,0,1,679864.9567,419294.5374,367.9126034,367.9126034
131,679864.9567,419294.5374,0.11,0,1,679864.9579,419294.5407,379.2235377,379.2235377
132,679864.9579,419294.5407,0.11,0,1,679864.9588,419294.5441,368.6633339,368.6633339
133,679864.9588,419294.5441,0.11,0,1,679864.96,419294.5474,379.0024733,379.0024733
134,679864.96,419294.5474,0.11,0,1,679864.9609,419294.5508,368.6618768,368.6618768
135,679864.9609,419294.5508,0.11,0,1,679864.9618,419294.5541,379.0016796,379.0016796
136,679864.9618,419294.5541,0.11,0,1,679864.9631,419294.5575,367.9101502,367.9101502
137,679864.9631,419294.5575,0.11,0,1,679864.964,419294.5609,380.0174673,380.0174673
138,679864.964,419294.5609,0.12,0,1,679864.9649,419294.5645,379.0004781,379.0004781
139,679864.9649,419294.5645,0.12,0,1,679864.9661,419294.5679,401.1870966,401.1870966
140,679864.9661,419294.5679,0.11,0,1,679864.967,419294.5712,379.7267584,379.7267584
141,679864.967,419294.5712,0.11,0,1,679864.9682,419294.5746,367.9080653,367.9080653
142,679864.9682,419294.5746,0.11,0,1,679864.9691,419294.5779,379.7253525,379.7253525
143,679864.9691,419294.5779,0.11,0,1,679864.9701,419294.5813,367.907249,367.907249
144,679864.9701,419294.5813,0.11,0,1,679864.9713,419294.5846,379.2171323,379.2171323
145,679864.9713,419294.5846,0.11,0,1,679864.9722,419294.588,368.6538321,368.6538321
146,679864.9722,419294.588,0.11,0,1,679864.9731,419294.5913,378.9972788,378.9972788
147,679864.9731,419294.5913,0.11,0,1,679864.9743,419294.5947,367.9056174,367.9056174
148,679864.9743,419294.5947,0.11,0,1,679864.9752,419294.598,379.7211373,379.7211373
149,679864.9752,419294.598,0.11,0,1,679864.9765,419294.6014,367.9048021,367.9048021
150,679864.9765,419294.6014,0.11,0,1,679864.9774,419294.6047,380.0066665,380.0066665
151,679864.9774,419294.6047,0.11,0,1,679864.9783,419294.6081,367.9039929,367.9039929
152,679864.9783,419294.6081,0.11,0,1,679864.9795,419294.6114,378.9948991,378.9948991
153,679864.9795,419294.6114,0.11,0,1,679864.9804,419294.6151,368.6480535,368.6480535
154,679864.9804,419294.6151,0.12,0,1,679864.9813,419294.6185,412.2772157,412.2772157
155,679864.9813,419294.6185,0.11,0,1,679864.9826,419294.6218,378.9936777,378.9936777
156,679864.9826,419294.6218,0.11,0,1,679864.9835,419294.6252,368.9405917,368.9405917
157,679864.9835,419294.6252,0.11,0,1,679864.9847,419294.6285,378.9928817,378.9928817
158,679864.9847,419294.6285,0.11,0,1,679864.9856,419294.6319,368.6443613,368.6443613
159,679864.9856,419294.6319,0.11,0,1,679864.9865,419294.6352,378.9920976,378.9920976
160,679864.9865,419294.6352,0.11,0,1,679864.9877,419294.6386,367.9002868,367.9002868
161,679864.9877,419294.6386,0.11,0,1,679864.9887,419294.6419,379.7119413,379.7119413
162,679864.9887,419294.6419,0.11,0,1,679864.9899,419294.6453,368.1234052,368.1234052
163,679864.9899,419294.6453,0.11,0,1,679864.9908,419294.6486,379.7105466,379.7105466
164,679864.9908,419294.6486,0.11,0,1,679864.9917,419294.652,367.8986607,367.8986607
165,679864.9917,419294.652,0.11,0,1,679864.9929,419294.6553,378.989724,378.989724
166,679864.9929,419294.6553,0.11,0.03,1,679864.9938,419294.6587,368.6385963,368.6385963
167,679864.9938,419294.6587,0.12,0,1,679864.9948,419294.6623,378.9889414,378.9889414
168,679864.9948,419294.6623,0.12,0,1,679864.996,419294.6657,401.3810386,401.3810386
169,679864.996,419294.6657,0.11,0,1,679864.9969,419294.6691,379.70628,379.70628
170,679864.9969,419294.6691,0.11,0,1,679864.9981,419294.6724,378.9877118,378.9877118
171,679864.9981,419294.6724,0.11,0,1,679864.999,419294.6758,368.6349135,368.6349135
172,679864.999,419294.6758,0.11,0,1,679864.9999,419294.6791,378.9869355,378.9869355
173,679864.9999,419294.6791,0.11,0,1,679865.0012,419294.6825,367.8949586,367.8949586
174,679865.0012,419294.6825,0.11,0,1,679865.0021,419294.6858,379.9867806,379.9867806
175,679865.0021,419294.6858,0.11,0,1,679865.003,419294.6892,367.894153,367.894153
176,679865.003,419294.6892,0.11,0,1,679865.0042,419294.6925,378.9853549,378.9853549
177,679865.0042,419294.6925,0.11,0,1,679865.0051,419294.6959,368.630596,368.630596
178,679865.0051,419294.6959,0.11,0,1,679865.0063,419294.6992,378.9845622,378.9845622
179,679865.0063,419294.6992,0.11,0,1,679865.0072,419294.7026,368.6291644,368.6291644
180,679865.0072,419294.7026,0.11,0,1,679865.0082,419294.7059,378.9837813,378.9837813
181,679865.0082,419294.7059,0.11,0,1,679865.0094,419294.7096,368.1138405,368.1138405
182,679865.0094,419294.7096,0.11,0,1,679865.0103,419294.7129,412.9236238,412.9236238
183,679865.0103,419294.7129,0.11,0,1,679865.0115,419294.7163,367.8908696,367.8908696
184,679865.0115,419294.7163,0.11,0,1,679865.0124,419294.7197,379.6957336,379.6957336
185,679865.0124,419294.7197,0.11,0,1,679865.0133,419294.723,378.9817808,378.9817808
186,679865.0133,419294.723,0.11,0,1,679865.0146,419294.7264,367.8896493,367.8896493
187,679865.0146,419294.7264,0.11,0,1,679865.0155,419294.7297,379.9760583,379.9760583
188,679865.0155,419294.7297,0.11,0,1,679865.0164,419294.7331,367.8888518,367.8888518
189,679865.0164,419294.7331,0.11,0,1,679865.0176,419294.7364,378.9801985,378.9801985
190,679865.0176,419294.7364,0.11,0,1,679865.0185,419294.7398,368.6211843,368.6211843
191,679865.0185,419294.7398,0.11,0,1,679865.0197,419294.7431,378.9794136,378.9794136
192,679865.0197,419294.7431,0.11,0,1,679865.0207,419294.7465,368.6197612,368.6197612
193,679865.0207,419294.7465,0.11,0,1,679865.0216,419294.7498,379.1931452,379.1931452
194,679865.0216,419294.7498,0.11,0,1,679865.0228,419294.7532,367.886415,367.886415
195,679865.0228,419294.7532,0.11,0,1,679865.0237,419294.7565,379.6880618,379.6880618
196,679865.0237,419294.7565,0.12,0,1,679865.0246,419294.7602,367.8856188,367.8856188
197,679865.0246,419294.7602,0.12,0,1,679865.0258,419294.7635,412.2615502,412.2615502
198,679865.0258,419294.7635,0.11,0,1,679865.0268,419294.7669,368.6153859,368.6153859
199,679865.0268,419294.7669,0.11,0,1,679865.028,419294.7702,379.1901999,379.1901999
200,679865.028,419294.7702,0.11,0,1,679865.0289,419294.7736,368.6139599,368.6139599
201,679865.0289,419294.7736,0.11,0,1,679865.0298,419294.777,378.9754644,378.9754644
202,679865.0298,419294.777,0.11,0,1,679865.031,419294.7803,378.9750612,378.9750612
203,679865.031,419294.7803,0.11,0,1,679865.0319,419294.7837,368.6117962,368.6117962
204,679865.0319,419294.7837,0.11,0,1,679865.0332,419294.787,378.9742841,378.9742841
205,679865.0332,419294.787,0.11,0,1,679865.0341,419294.7904,368.8990331,368.8990331
206,679865.0341,419294.7904,0.11,0,1,679865.035,419294.7937,378.9734959,378.9734959
207,679865.035,419294.7937,0.11,0,1,679865.0362,419294.7971,367.881128,367.881128
208,679865.0362,419294.7971,0.11,0,1,679865.0371,419294.8004,379.6789624,379.6789624
209,679865.0371,419294.8004,0.11,0,1,679865.038,419294.8038,367.8803279,367.8803279
210,679865.038,419294.8038,0.12,0,1,679865.0393,419294.8074,378.9719315,378.9719315
211,679865.0393,419294.8074,0.12,0,1,679865.0402,419294.8108,402.090639,402.090639
212,679865.0402,419294.8108,0.11,0,1,679865.0414,419294.8141,378.9711151,378.9711151
213,679865.0414,419294.8141,0.11,0,1,679865.0423,419294.8175,368.6045907,368.6045907
214,679865.0423,419294.8175,0.11,0,1,679865.0432,419294.8208,378.9703393,378.9703393
215,679865.0432,419294.8208,0.11,0,1,679865.0444,419294.8242,367.8778712,367.8778712
216,679865.0444,419294.8242,0.11,0,1,679865.0453,419294.8276,379.6733477,379.6733477
217,679865.0453,419294.8276,0.11,0,1,679865.0463,419294.8309,378.9691621,378.9691621
218,679865.0463,419294.8309,0.11,0,1,679865.0475,419294.8343,368.0952685,368.0952685
219,679865.0475,419294.8343,0.11,0,1,679865.0484,419294.8376,379.6712595,379.6712595
220,679865.0484,419294.8376,0.11,0,1,679865.0496,419294.841,367.8758606,367.8758606
221,679865.0496,419294.841,0.11,0,1,679865.0505,419294.8443,379.669875,379.669875
222,679865.0505,419294.8443,0.11,0,1,679865.0514,419294.8477,367.875057,367.875057
223,679865.0514,419294.8477,0.11,0,1,679865.0527,419294.851,378.9668156,378.9668156
224,679865.0527,419294.851,0.11,0,1,679865.0536,419294.8547,368.8830406,368.8830406
225,679865.0536,419294.8547,0.11,0,1,679865.0545,419294.858,412.2514157,412.2514157
226,679865.0545,419294.858,0.11,0,1,679865.0557,419294.8614,367.8734148,367.8734148
227,679865.0557,419294.8614,0.11,0,1,679865.0566,419294.8647,379.6656629,379.6656629
228,679865.0566,419294.8647,0.11,0,1,679865.0578,419294.8681,367.8726064,367.8726064
229,679865.0578,419294.8681,0.11,0,1,679865.0588,419294.8714,379.6642861,379.6642861
230,679865.0588,419294.8714,0.11,0,1,679865.0597,419294.8748,368.0892789,368.0892789
231,679865.0597,419294.8748,0.11,0,1,679865.0609,419294.8781,378.9636642,378.9636642
232,679865.0609,419294.8781,0.11,0,1,679865.0618,419294.8815,368.5909694,368.5909694
233,679865.0618,419294.8815,0.11,0,1,679865.063,419294.8849,378.9628916,378.9628916
234,679865.063,419294.8849,0.11,0,1,679865.0639,419294.8882,379.6608169,379.6608169
235,679865.0639,419294.8882,0.11,0,1,679865.0649,419294.8916,367.8697995,367.8697995
236,679865.0649,419294.8916,0.11,0,1,679865.0661,419294.8949,379.1722728,379.1722728
237,679865.0661,419294.8949,0.11,0,1,679865.067,419294.8983,368.5874096,368.5874096
238,679865.067,419294.8983,0.11,0,1,679865.0679,419294.9016,378.9609413,378.9609413
239,679865.0679,419294.9016,0.12,0,1,679865.0691,419294.9053,367.8681917,367.8681917
240,679865.0691,419294.9053,0.12,0,1,679865.07,419294.9086,412.8863716,412.8863716
241,679865.07,419294.9086,0.11,0,1,679865.0713,419294.912,367.8673611,367.8673611
242,679865.0713,419294.912,0.11,0,1,679865.0722,419294.9153,379.9310305,379.9310305
243,679865.0722,419294.9153,0.11,0,1,679865.0731,419294.9187,367.8665613,367.8665613
244,679865.0731,419294.9187,0.11,0,1,679865.0743,419294.922,378.9585697,378.9585697
245,679865.0743,419294.922,0.11,0,1,679865.0752,419294.9254,368.5816655,368.5816655
246,679865.0752,419294.9254,0.11,0,1,679865.0761,419294.9287,378.9577936,378.9577936
247,679865.0761,419294.9287,0.11,0,1,679865.0774,419294.9321,367.8649614,367.8649614
248,679865.0774,419294.9321,0.11,0,1,679865.0783,419294.9354,379.926184,379.926184
249,679865.0783,419294.9354,0.11,0,1,679865.0795,419294.9388,367.8641624,367.8641624
250,679865.0795,419294.9388,0.11,0,1,679865.0804,419294.9422,379.6497275,379.6497275
251,679865.0804,419294.9422,0.11,0,1,679865.0813,419294.9455,378.9558541,378.9558541
252,679865.0813,419294.9455,0.11,0,1,679865.0825,419294.9489,367.8629522,367.8629522
253,679865.0825,419294.9489,0.12,0,1,679865.0834,419294.9525,379.6476595,379.6476595
254,679865.0834,419294.9525,0.11,0,1,679865.0847,419294.9559,401.1442118,401.1442118
255,679865.0847,419294.9559,0.11,0,1,679865.0856,419294.9592,379.9204526,379.9204526
256,679865.0856,419294.9592,0.11,0,1,679865.0865,419294.9626,367.8613256,367.8613256
257,679865.0865,419294.9626,0.11,0,1,679865.0877,419294.9659,378.9534947,378.9534947
258,679865.0877,419294.9659,0.11,0,1,679865.0886,419294.9693,368.5723744,368.5723744
259,679865.0886,419294.9693,0.11,0,1,679865.0895,419294.9726,378.9527146,378.9527146
260,679865.0895,419294.9726,0.11,0,1,679865.0908,419294.976,367.8597304,367.8597304
261,679865.0908,419294.976,0.11,0,1,679865.0917,419294.9793,379.9156242,379.9156242
262,679865.0917,419294.9793,0.11,0,1,679865.0929,419294.9827,367.8589274,367.8589274
263,679865.0929,419294.9827,0.11,0,1,679865.0938,419294.986,379.6407222,379.6407222
264,679865.0938,419294.986,0.11,0,1,679865.0947,419294.9894,367.8581364,367.8581364
265,679865.0947,419294.9894,0.11,0,1,679865.0959,419294.9928,378.9503994,378.9503994
266,679865.0959,419294.9928,0.11,0,1,679865.0969,419294.9961,379.6386537,379.6386537
267,679865.0969,419294.9961,0.11,0.03,1,679865.0978,419294.9995,368.0709207,368.0709207
268,679865.0978,419294.9995,0.12,0,1,679865.099,419295.0031,378.9492342,378.9492342
269,679865.099,419295.0031,0.12,0,1,679865.0999,419295.0065,401.7884524,401.7884524
270,679865.0999,419295.0065,0.11,0,1,679865.1011,419295.0098,378.9484271,378.9484271
271,679865.1011,419295.0098,0.11,0,1,679865.102,419295.0132,368.5631131,368.5631131
272,679865.102,419295.0132,0.11,0,1,679865.103,419295.0165,378.947649,378.947649
273,679865.103,419295.0165,0.11,0,1,679865.1042,419295.0199,368.0679429,368.0679429
274,679865.1042,419295.0199,0.11,0,1,679865.1051,419295.0232,379.6331096,379.6331096
275,679865.1051,419295.0232,0.11,0,1,679865.1063,419295.0266,367.8537125,367.8537125
276,679865.1063,419295.0266,0.11,0,1,679865.1072,419295.0299,379.63174,379.63174
277,679865.1072,419295.0299,0.11,0,1,679865.1081,419295.0333,367.8529291,367.8529291
278,679865.1081,419295.0333,0.11,0,1,679865.1094,419295.0366,378.9453342,378.9453342
279,679865.1094,419295.0366,0.11,0,1,679865.1103,419295.04,368.8369981,368.8369981
280,679865.1103,419295.04,0.11,0,1,679865.1112,419295.0433,378.9445632,378.9445632
281,679865.1112,419295.0433,0.11,0,1,679865.1124,419295.0467,367.8513408,367.8513408
282,679865.1124,419295.0467,0.12,0,1,679865.1133,419295.0504,379.6276355,379.6276355
283,679865.1133,419295.0504,0.12,0,1,679865.1145,419295.0537,412.230609,412.230609
284,679865.1145,419295.0537,0.11,0,1,679865.1155,419295.0571,368.5538767,368.5538767
285,679865.1155,419295.0571,0.11,0,1,679865.1164,419295.0604,379.1486855,379.1486855
286,679865.1164,419295.0604,0.11,0,1,679865.1176,419295.0638,367.8493156,367.8493156
287,679865.1176,419295.0638,0.11,0,1,679865.1185,419295.0671,379.6241474,379.6241474
288,679865.1185,419295.0671,0.11,0,1,679865.1194,419295.0705,367.8485109,367.8485109
289,679865.1194,419295.0705,0.11,0,1,679865.1206,419295.0738,378.9410574,378.9410574
290,679865.1206,419295.0738,0.11,0,1,679865.1215,419295.0772,368.5496672,368.5496672
291,679865.1215,419295.0772,0.11,0,1,679865.1228,419295.0805,378.9402881,378.9402881
292,679865.1228,419295.0805,0.11,0,1,679865.1237,419295.0839,368.8261834,368.8261834
293,679865.1237,419295.0839,0.11,0,1,679865.1246,419295.0872,378.9395307,378.9395307
294,679865.1246,419295.0872,0.11,0,1,679865.1258,419295.0906,367.846134,367.846134
295,679865.1258,419295.0906,0.11,0,1,679865.1267,419295.0939,379.6186886,379.6186886
296,679865.1267,419295.0939,0.11,0,1,679865.1279,419295.0973,367.8453423,367.8453423
297,679865.1279,419295.0973,0.12,0,1,679865.1289,419295.101,379.6173361,379.6173361
298,679865.1289,419295.101,0.12,0,1,679865.1298,419295.1043,412.413644,412.413644
299,679865.1298,419295.1043,0.11,-0.03,1,679865.131,419295.1077,367.8441141,367.8441141
300,679865.131,419295.1077,0.11,0,1,679865.1319,419295.111,379.6152097,379.6152097
301,679865.1319,419295.111,0.11,0,1,679865.1328,419295.1144,367.8433232,367.8433232
302,679865.1328,419295.1144,0.11,0,1,679865.134,419295.1177,378.9360342,378.9360342
303,679865.134,419295.1177,0.11,0,1,679865.135,419295.1211,368.5404543,368.5404543
304,679865.135,419295.1211,0.11,0,1,679865.1362,419295.1244,379.1396269,379.1396269
305,679865.1362,419295.1244,0.11,0,1,679865.1371,419295.1278,368.5390524,368.5390524
306,679865.1371,419295.1278,0.11,0,1,679865.138,419295.1311,378.9345003,378.9345003
